track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1,100,pedestrian/bicycle,1007.546,990.127,3.738,0.178
P1,2,200,pedestrian/bicycle,1007.914,990.146,3.62,0.193
P1,3,300,pedestrian/bicycle,1008.27,990.166,3.504,0.212
P1,4,400,pedestrian/bicycle,1008.614,990.189,3.388,0.236
P1,5,500,pedestrian/bicycle,1008.948,990.214,3.285,0.265
P1,6,600,pedestrian/bicycle,1009.272,990.242,3.201,0.3
P1,7,700,pedestrian/bicycle,1009.589,990.274,3.138,0.34
P1,8,800,pedestrian/bicycle,1009.901,990.31,3.099,0.379
P1,9,900,pedestrian/bicycle,1010.211,990.35,3.093,0.415
P1,10,1000,pedestrian/bicycle,1010.522,990.393,3.127,0.448
P1,11,1100,pedestrian/bicycle,1010.838,990.439,3.19,0.477
P1,12,1200,pedestrian/bicycle,1011.16,990.488,3.268,0.5
P1,13,1300,pedestrian/bicycle,1011.492,990.539,3.355,0.52
P1,14,1400,pedestrian/bicycle,1011.832,990.592,3.445,0.536
P1,15,1500,pedestrian/bicycle,1012.18,990.646,3.529,0.551
P1,16,1600,pedestrian/bicycle,1012.537,990.702,3.599,0.563
P1,17,1700,pedestrian/bicycle,1012.899,990.759,3.648,0.573
P1,18,1800,pedestrian/bicycle,1013.266,990.816,3.681,0.583
P1,19,1900,pedestrian/bicycle,1013.635,990.875,3.698,0.591
P1,20,2000,pedestrian/bicycle,1014.005,990.934,3.702,0.594
P1,21,2100,pedestrian/bicycle,1014.375,990.994,3.7,0.592
P1,22,2200,pedestrian/bicycle,1014.744,991.052,3.697,0.581
P1,23,2300,pedestrian/bicycle,1015.114,991.109,3.691,0.562
P1,24,2400,pedestrian/bicycle,1015.482,991.164,3.68,0.537
P1,25,2500,pedestrian/bicycle,1015.85,991.217,3.663,0.507
P1,26,2600,pedestrian/bicycle,1016.215,991.266,3.648,0.476
P1,27,2700,pedestrian/bicycle,1016.58,991.312,3.643,0.447
P1,28,2800,pedestrian/bicycle,1016.944,991.355,3.649,0.42
P1,29,2900,pedestrian/bicycle,1017.31,991.396,3.669,0.393
P1,30,3000,pedestrian/bicycle,1017.678,991.434,3.695,0.364
P1,31,3100,pedestrian/bicycle,1018.049,991.469,3.72,0.334
P1,32,3200,pedestrian/bicycle,1018.422,991.501,3.739,0.304
P1,33,3300,pedestrian/bicycle,1018.797,991.53,3.751,0.275
P1,34,3400,pedestrian/bicycle,1019.172,991.556,3.754,0.246
P1,35,3500,pedestrian/bicycle,1019.547,991.579,3.753,0.215
P1,36,3600,pedestrian/bicycle,1019.923,991.599,3.76,0.182
P1,37,3700,pedestrian/bicycle,1020.3,991.615,3.78,0.149
P1,38,3800,pedestrian/bicycle,1020.679,991.629,3.805,0.118
P1,39,3900,pedestrian/bicycle,1021.061,991.639,3.826,0.09
P1,40,4000,pedestrian/bicycle,1021.444,991.647,3.84,0.067
P1,41,4100,pedestrian/bicycle,1021.829,991.653,3.853,0.05
P1,42,4200,pedestrian/bicycle,1022.215,991.657,3.869,0.042
P1,43,4300,pedestrian/bicycle,1022.602,991.661,3.884,0.039
P1,44,4400,pedestrian/bicycle,1022.991,991.665,3.894,0.041
P1,45,4500,pedestrian/bicycle,1023.38,991.669,3.894,0.041
P1,46,4600,pedestrian/bicycle,1023.77,991.673,3.888,0.04
P1,47,4700,pedestrian/bicycle,1024.158,991.677,3.878,0.037
P1,48,4800,pedestrian/bicycle,1024.545,991.681,3.867,0.031
P1,49,4900,pedestrian/bicycle,1024.931,991.684,3.856,0.025
P1,50,5000,pedestrian/bicycle,1025.316,991.686,3.847,0.02
P1,51,5100,pedestrian/bicycle,1025.701,991.688,3.848,0.019
P1,52,5200,pedestrian/bicycle,1026.087,991.69,3.863,0.024
P1,53,5300,pedestrian/bicycle,1026.474,991.693,3.884,0.039
P1,54,5400,pedestrian/bicycle,1026.864,991.698,3.906,0.064
P1,55,5500,pedestrian/bicycle,1027.255,991.706,3.921,0.092
P1,56,5600,pedestrian/bicycle,1027.647,991.717,3.924,0.124
P1,57,5700,pedestrian/bicycle,1028.039,991.731,3.915,0.158
P1,58,5800,pedestrian/bicycle,1028.43,991.748,3.896,0.193
P1,59,5900,pedestrian/bicycle,1028.818,991.77,3.868,0.231
P1,60,6000,pedestrian/bicycle,1029.203,991.795,3.842,0.269
P1,61,6100,pedestrian/bicycle,1029.587,991.823,3.822,0.308
P1,62,6200,pedestrian/bicycle,1029.968,991.856,3.806,0.344
P1,63,6300,pedestrian/bicycle,1030.347,991.892,3.784,0.38
P1,64,6400,pedestrian/bicycle,1030.724,991.932,3.75,0.413
P1,65,6500,pedestrian/bicycle,1031.097,991.975,3.704,0.443
P1,66,6600,pedestrian/bicycle,1031.464,992.02,3.649,0.468
P1,67,6700,pedestrian/bicycle,1031.826,992.068,3.586,0.487
P1,68,6800,pedestrian/bicycle,1032.181,992.118,3.515,0.501
P1,69,6900,pedestrian/bicycle,1032.529,992.168,3.438,0.511
P1,70,7000,pedestrian/bicycle,1032.869,992.219,3.361,0.516
P1,71,7100,pedestrian/bicycle,1033.202,992.271,3.292,0.516
P1,72,7200,pedestrian/bicycle,1033.528,992.322,3.234,0.506
P1,73,7300,pedestrian/bicycle,1033.849,992.372,3.194,0.489
P1,74,7400,pedestrian/bicycle,1034.167,992.42,3.166,0.465
P1,75,7500,pedestrian/bicycle,1034.482,992.464,3.12,0.43
P1,76,7600,pedestrian/bicycle,1034.789,992.505,3.035,0.385
P1,77,7700,pedestrian/bicycle,1035.087,992.541,2.924,0.333
P1,78,7800,pedestrian/bicycle,1035.374,992.572,2.806,0.28
P1,79,7900,pedestrian/bicycle,1035.649,992.597,2.693,0.225
P1,80,8000,pedestrian/bicycle,1035.913,992.617,2.588,0.167
P1,81,8100,pedestrian/bicycle,1036.167,992.63,2.493,0.109
P1,82,8200,pedestrian/bicycle,1036.412,992.638,2.411,0.051
P1,83,8300,pedestrian/bicycle,1036.65,992.641,2.348,-0.005
P1,84,8400,pedestrian/bicycle,1036.883,992.637,2.306,-0.058
P1,85,8500,pedestrian/bicycle,1037.112,992.629,2.281,-0.107
P1,86,8600,pedestrian/bicycle,1037.339,992.617,2.268,-0.146
P1,87,8700,pedestrian/bicycle,1037.566,992.6,2.261,-0.176
P1,88,8800,pedestrian/bicycle,1037.792,992.582,2.258,-0.193
P1,89,8900,pedestrian/bicycle,1038.017,992.563,2.252,-0.195
P1,90,9000,pedestrian/bicycle,1038.242,992.544,2.236,-0.178
P1,91,9100,pedestrian/bicycle,1038.464,992.528,2.21,-0.141
P1,92,9200,pedestrian/bicycle,1038.683,992.517,2.174,-0.086
P1,93,9300,pedestrian/bicycle,1038.899,992.512,2.136,-0.015
P1,94,9400,pedestrian/bicycle,1039.111,992.514,2.105,0.071
P1,95,9500,pedestrian/bicycle,1039.32,992.526,2.084,0.168
P1,96,9600,pedestrian/bicycle,1039.528,992.548,2.074,0.273
P1,97,9700,pedestrian/bicycle,1039.736,992.581,2.074,0.38
P1,98,9800,pedestrian/bicycle,1039.943,992.624,2.077,0.487
P1,99,9900,pedestrian/bicycle,1040.151,992.678,2.081,0.591
P1,100,10000,pedestrian/bicycle,1040.359,992.742,2.082,0.692
P1,101,10100,pedestrian/bicycle,1040.567,992.816,2.08,0.787
P1,102,10200,pedestrian/bicycle,1040.775,992.899,2.077,0.874
P1,103,10300,pedestrian/bicycle,1040.983,992.991,2.078,0.953
P1,104,10400,pedestrian/bicycle,1041.191,993.089,2.089,1.022
P1,105,10500,pedestrian/bicycle,1041.401,993.195,2.107,1.08
P1,106,10600,pedestrian/bicycle,1041.613,993.305,2.13,1.125
P1,107,10700,pedestrian/bicycle,1041.827,993.419,2.157,1.156
P1,108,10800,pedestrian/bicycle,1042.045,993.535,2.19,1.171
P1,109,10900,pedestrian/bicycle,1042.266,993.652,2.232,1.167
P1,110,11000,pedestrian/bicycle,1042.492,993.768,2.283,1.149
P1,111,11100,pedestrian/bicycle,1042.723,993.881,2.342,1.119
P1,112,11200,pedestrian/bicycle,1042.96,993.991,2.399,1.081
P1,113,11300,pedestrian/bicycle,1043.202,994.097,2.445,1.035
P1,114,11400,pedestrian/bicycle,1043.448,994.198,2.475,0.985
P1,115,11500,pedestrian/bicycle,1043.696,994.294,2.486,0.931
P1,116,11600,pedestrian/bicycle,1043.944,994.384,2.48,0.876
P1,117,11700,pedestrian/bicycle,1044.191,994.469,2.457,0.82
P1,118,11800,pedestrian/bicycle,1044.435,994.548,2.423,0.763
P1,119,11900,pedestrian/bicycle,1044.675,994.622,2.379,0.706
P1,120,12000,pedestrian/bicycle,1044.91,994.69,2.323,0.649
P1,121,12100,pedestrian/bicycle,1045.139,994.752,2.256,0.593
P1,122,12200,pedestrian/bicycle,1045.361,994.808,2.178,0.541
P1,123,12300,pedestrian/bicycle,1045.575,994.86,2.095,0.498
P1,124,12400,pedestrian/bicycle,1045.781,994.909,2.026,0.469
P1,125,12500,pedestrian/bicycle,1045.981,994.955,1.985,0.453
P1,126,12600,pedestrian/bicycle,1046.179,995,1.973,0.449
P5,1759,175900,pedestrian/bicycle,1045.561,995.507,-5.263,-0.645
P5,1760,176000,pedestrian/bicycle,1045.038,995.442,-5.204,-0.656
P5,1761,176100,pedestrian/bicycle,1044.52,995.376,-5.149,-0.665
P5,1762,176200,pedestrian/bicycle,1044.008,995.309,-5.1,-0.672
P5,1763,176300,pedestrian/bicycle,1043.5,995.242,-5.062,-0.674
P5,1764,176400,pedestrian/bicycle,1042.995,995.174,-5.039,-0.672
P5,1765,176500,pedestrian/bicycle,1042.492,995.108,-5.016,-0.667
P5,1766,176600,pedestrian/bicycle,1041.992,995.041,-4.982,-0.661
P5,1767,176700,pedestrian/bicycle,1041.496,994.975,-4.943,-0.655
P5,1768,176800,pedestrian/bicycle,1041.004,994.91,-4.899,-0.651
P5,1769,176900,pedestrian/bicycle,1040.517,994.845,-4.842,-0.655
P5,1770,177000,pedestrian/bicycle,1040.036,994.779,-4.766,-0.665
P5,1771,177100,pedestrian/bicycle,1039.565,994.712,-4.664,-0.677
P5,1772,177200,pedestrian/bicycle,1039.105,994.643,-4.527,-0.693
P5,1773,177300,pedestrian/bicycle,1038.661,994.573,-4.355,-0.711
