track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1,100,pedestrian/bicycle,1027.336,992.564,-4.948,-0.029
P1,2,200,pedestrian/bicycle,1026.844,992.561,-4.898,-0.04
P1,3,300,pedestrian/bicycle,1026.356,992.556,-4.848,-0.053
P1,4,400,pedestrian/bicycle,1025.874,992.55,-4.801,-0.069
P1,5,500,pedestrian/bicycle,1025.396,992.542,-4.756,-0.089
P1,6,600,pedestrian/bicycle,1024.923,992.532,-4.712,-0.112
P1,7,700,pedestrian/bicycle,1024.454,992.52,-4.665,-0.138
P1,8,800,pedestrian/bicycle,1023.99,992.505,-4.621,-0.165
P1,9,900,pedestrian/bicycle,1023.529,992.487,-4.596,-0.192
P1,10,1000,pedestrian/bicycle,1023.069,992.466,-4.609,-0.216
P1,11,1100,pedestrian/bicycle,1022.605,992.444,-4.659,-0.239
P1,12,1200,pedestrian/bicycle,1022.136,992.419,-4.731,-0.26
P1,13,1300,pedestrian/bicycle,1021.658,992.392,-4.82,-0.278
P1,14,1400,pedestrian/bicycle,1021.171,992.363,-4.93,-0.293
P1,15,1500,pedestrian/bicycle,1020.672,992.333,-5.043,-0.303
P1,16,1600,pedestrian/bicycle,1020.163,992.303,-5.143,-0.309
P1,17,1700,pedestrian/bicycle,1019.644,992.272,-5.236,-0.312
P1,18,1800,pedestrian/bicycle,1019.115,992.24,-5.331,-0.317
P1,19,1900,pedestrian/bicycle,1018.578,992.208,-5.408,-0.323
P1,20,2000,pedestrian/bicycle,1018.035,992.176,-5.452,-0.33
P1,21,2100,pedestrian/bicycle,1017.489,992.142,-5.472,-0.34
P1,22,2200,pedestrian/bicycle,1016.942,992.108,-5.479,-0.351
P1,23,2300,pedestrian/bicycle,1016.394,992.072,-5.483,-0.364
P1,24,2400,pedestrian/bicycle,1015.845,992.035,-5.49,-0.378
P1,25,2500,pedestrian/bicycle,1015.295,991.996,-5.502,-0.395
P1,26,2600,pedestrian/bicycle,1014.744,991.956,-5.519,-0.417
P1,27,2700,pedestrian/bicycle,1014.192,991.913,-5.536,-0.441
P1,28,2800,pedestrian/bicycle,1013.637,991.867,-5.546,-0.47
P1,29,2900,pedestrian/bicycle,1013.083,991.818,-5.554,-0.506
P1,30,3000,pedestrian/bicycle,1012.526,991.765,-5.567,-0.555
P1,31,3100,pedestrian/bicycle,1011.969,991.707,-5.582,-0.617
P1,32,3200,pedestrian/bicycle,1011.41,991.641,-5.601,-0.69
P1,33,3300,pedestrian/bicycle,1010.849,991.568,-5.626,-0.773
P1,34,3400,pedestrian/bicycle,1010.285,991.486,-5.652,-0.865
P1,35,3500,pedestrian/bicycle,1009.719,991.395,-5.667,-0.962
P1,36,3600,pedestrian/bicycle,1009.152,991.294,-5.671,-1.061
P1,37,3700,pedestrian/bicycle,1008.585,991.182,-5.667,-1.161
P1,38,3800,pedestrian/bicycle,1008.019,991.061,-5.657,-1.263
P1,39,3900,pedestrian/bicycle,1007.454,990.93,-5.641,-1.363
P1,40,4000,pedestrian/bicycle,1006.891,990.789,-5.612,-1.458
P1,41,4100,pedestrian/bicycle,1006.332,990.639,-5.569,-1.547
P1,42,4200,pedestrian/bicycle,1005.778,990.48,-5.508,-1.628
P1,43,4300,pedestrian/bicycle,1005.231,990.314,-5.428,-1.699
P1,44,4400,pedestrian/bicycle,1004.694,990.141,-5.322,-1.757
P1,45,4500,pedestrian/bicycle,1004.168,989.963,-5.186,-1.798
P1,46,4600,pedestrian/bicycle,1003.658,989.782,-5.019,-1.817
P1,47,4700,pedestrian/bicycle,1003.166,989.601,-4.821,-1.814
P1,48,4800,pedestrian/bicycle,1002.695,989.421,-4.598,-1.786
P1,49,4900,pedestrian/bicycle,1002.248,989.245,-4.348,-1.732
P1,50,5000,pedestrian/bicycle,1001.826,989.075,-4.083,-1.656
P1,51,5100,pedestrian/bicycle,1001.431,988.914,-3.825,-1.569
P1,52,5200,pedestrian/bicycle,1001.06,988.761,-3.6,-1.488
P1,53,5300,pedestrian/bicycle,1000.708,988.615,-3.434,-1.426
P1,54,5400,pedestrian/bicycle,1000.369,988.475,-3.344,-1.391
P1,55,5500,pedestrian/bicycle,1000.036,988.336,-3.318,-1.381
P2,2031,203100,pedestrian/bicycle,1000.731,988.006,0.954,0.994
P2,2032,203200,pedestrian/bicycle,1000.825,988.102,0.927,0.933
P2,2033,203300,pedestrian/bicycle,1000.916,988.192,0.902,0.875
P2,2034,203400,pedestrian/bicycle,1001.005,988.277,0.882,0.823
P2,2035,203500,pedestrian/bicycle,1001.093,988.357,0.87,0.781
P2,2036,203600,pedestrian/bicycle,1001.18,988.434,0.867,0.753
P2,2037,203700,pedestrian/bicycle,1001.267,988.509,0.873,0.738
P2,2038,203800,pedestrian/bicycle,1001.355,988.582,0.889,0.733
P2,2039,203900,pedestrian/bicycle,1001.445,988.656,0.914,0.737
P2,2040,204000,pedestrian/bicycle,1001.538,988.73,0.948,0.75
P2,2041,204100,pedestrian/bicycle,1001.635,988.806,0.99,0.77
P2,2042,204200,pedestrian/bicycle,1001.737,988.884,1.039,0.797
P2,2043,204300,pedestrian/bicycle,1001.843,988.966,1.099,0.831
P2,2044,204400,pedestrian/bicycle,1001.957,989.051,1.174,0.872
P2,2045,204500,pedestrian/bicycle,1002.079,989.141,1.263,0.918
P2,2046,204600,pedestrian/bicycle,1002.21,989.235,1.36,0.964
P2,2047,204700,pedestrian/bicycle,1002.351,989.333,1.46,1.008
P2,2048,204800,pedestrian/bicycle,1002.502,989.436,1.559,1.048
P2,2049,204900,pedestrian/bicycle,1002.663,989.542,1.655,1.08
P2,2050,205000,pedestrian/bicycle,1002.833,989.652,1.74,1.102
P2,2051,205100,pedestrian/bicycle,1003.01,989.762,1.811,1.11
P2,2052,205200,pedestrian/bicycle,1003.194,989.873,1.871,1.103
P2,2053,205300,pedestrian/bicycle,1003.384,989.982,1.924,1.081
P2,2054,205400,pedestrian/bicycle,1003.579,990.088,1.967,1.047
P2,2055,205500,pedestrian/bicycle,1003.777,990.191,2.002,1.003
