track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P3,673,67300,pedestrian/bicycle,1002.752,989.105,1.588,0.506
P3,674,67400,pedestrian/bicycle,1002.918,989.158,1.732,0.546
P3,675,67500,pedestrian/bicycle,1003.099,989.214,1.88,0.588
P3,676,67600,pedestrian/bicycle,1003.294,989.274,2.02,0.616
P3,677,67700,pedestrian/bicycle,1003.502,989.336,2.141,0.624
P3,678,67800,pedestrian/bicycle,1003.721,989.399,2.24,0.621
P3,679,67900,pedestrian/bicycle,1003.949,989.46,2.313,0.611
P3,680,68000,pedestrian/bicycle,1004.182,989.521,2.357,0.596
P3,681,68100,pedestrian/bicycle,1004.419,989.579,2.377,0.578
P3,682,68200,pedestrian/bicycle,1004.657,989.636,2.383,0.56
P3,683,68300,pedestrian/bicycle,1004.895,989.692,2.378,0.543
P3,684,68400,pedestrian/bicycle,1005.132,989.745,2.366,0.533
P3,685,68500,pedestrian/bicycle,1005.368,989.798,2.354,0.529
P3,686,68600,pedestrian/bicycle,1005.603,989.852,2.348,0.532
P3,687,68700,pedestrian/bicycle,1005.838,989.905,2.352,0.541
P3,688,68800,pedestrian/bicycle,1006.074,989.96,2.37,0.557
P3,689,68900,pedestrian/bicycle,1006.313,990.017,2.397,0.58
P3,690,69000,pedestrian/bicycle,1006.554,990.076,2.43,0.607
P3,691,69100,pedestrian/bicycle,1006.799,990.139,2.468,0.634
P3,692,69200,pedestrian/bicycle,1007.048,990.203,2.505,0.66
P3,693,69300,pedestrian/bicycle,1007.3,990.27,2.541,0.682
P3,694,69400,pedestrian/bicycle,1007.555,990.339,2.569,0.698
P3,695,69500,pedestrian/bicycle,1007.813,990.41,2.591,0.709
P3,696,69600,pedestrian/bicycle,1008.074,990.481,2.613,0.72
P3,697,69700,pedestrian/bicycle,1008.336,990.554,2.641,0.734
P3,698,69800,pedestrian/bicycle,1008.602,990.628,2.678,0.749
P3,699,69900,pedestrian/bicycle,1008.872,990.704,2.72,0.764
P3,700,70000,pedestrian/bicycle,1009.146,990.781,2.764,0.778
P3,701,70100,pedestrian/bicycle,1009.425,990.859,2.81,0.796
P3,702,70200,pedestrian/bicycle,1009.708,990.94,2.857,0.817
P3,703,70300,pedestrian/bicycle,1009.996,991.023,2.904,0.845
P3,704,70400,pedestrian/bicycle,1010.289,991.109,2.952,0.878
P3,705,70500,pedestrian/bicycle,1010.587,991.199,3.006,0.913
P3,706,70600,pedestrian/bicycle,1010.891,991.292,3.069,0.947
P3,707,70700,pedestrian/bicycle,1011.201,991.388,3.137,0.978
P3,708,70800,pedestrian/bicycle,1011.518,991.487,3.205,1.007
P3,709,70900,pedestrian/bicycle,1011.841,991.589,3.263,1.032
P3,710,71000,pedestrian/bicycle,1012.17,991.694,3.312,1.054
P3,711,71100,pedestrian/bicycle,1012.504,991.8,3.36,1.067
P3,712,71200,pedestrian/bicycle,1012.842,991.906,3.407,1.067
P3,713,71300,pedestrian/bicycle,1013.185,992.012,3.452,1.052
P3,714,71400,pedestrian/bicycle,1013.532,992.116,3.492,1.019
